sa2,DHB,Population,VaccRate,SocialDeprivation,DistanceToVacc,PropUnder30,TertiaryStudents
101000,Northland,797,0.5269761606022585,1094.5,4747.18231784,0.3387096774193548,No
101100,Northland,2173,0.7156005522319374,1029,5589.1431629,0.27165354330708663,No
101200,Northland,841,0.5231866825208086,1187,16780.7931318,0.3613861386138614,No
101300,Northland,1028,0.4990272373540856,1158.5,21011.2792913,0.3497942386831276,No
101400,Northland,832,0.6105769230769231,1077.5,14951.806761,0.3036649214659686,No
103100,Northland,2444,0.7835515548281505,948,2081.32392067,0.28044280442804426,No
103600,Northland,536,0.6585820895522388,1029,8249.51987782,0.3586206896551724,No
103800,Northland,750,0.816,960,16009.1969635,0.18125,No
104000,Northland,453,0.5099337748344371,1216,20148.3275199,0.44642857142857145,No
104100,Northland,1206,0.538971807628524,1129,15061.5921444,0.3939393939393939,No
104200,Northland,590,0.735593220338983,970,12941.5072237,0.16417910447761194,No
104300,Northland,1145,0.7633187772925765,995,6826.79919653,0.205761316872428,No
104400,Northland,612,0.6339869281045751,1187,30210.8670472,0.34459459459459457,No
104700,Northland,580,0.5482758620689655,1107,22206.9904119,0.4268292682926829,No
105600,Northland,1585,0.7646687697160883,935,26154.9924921,0.2884097035040431,No
105700,Northland,871,0.7106773823191733,970.5,10031.8289505,0.32857142857142857,No
116400,Waitemata,1474,0.8086838534599728,944,6538.70769875,0.34770114942528735,No
116600,Waitemata,1811,0.8266151297625621,924,7782.46153496,0.3865546218487395,No
202000,Bay of Plenty,1428,0.6589635854341737,1008,6826.95563113,0.3780821917808219,No
202100,Bay of Plenty,1068,NA,969,8289.39893311,0.3602941176470588,No
202500,Bay of Plenty,1689,NA,929,4901.81662781,0.39540816326530615,No
203100,Bay of Plenty,1201,0.5520399666944213,1128,5663.92184626,0.45426829268292684,No
203200,Bay of Plenty,2819,0.830081589216034,943,5166.84305917,0.2716417910447761,No
203400,Bay of Plenty,903,0.46511627906976744,1105.5,87905.9746519,0.44551282051282054,No
203500,Bay of Plenty,1948,0.4625256673511294,1248,44588.7740761,0.4880952380952381,No
204100,Bay of Plenty,1256,0.6815286624203821,1044,15559.603654,0.3177842565597668,No
204200,Bay of Plenty,1023,NA,1206,56754.3585317,0.3521594684385382,No
204500,Bay of Plenty,1012,NA,1053,8296.07617059,0.37551020408163266,No
204600,Bay of Plenty,194,NA,1270,29663.9053528,0.4246575342465753,No
204700,Tairawhiti,1089,0.5803489439853077,1264,48530.3263793,0.4212328767123288,No
105400,Northland,2993,NA,951,16265.3279147,0.34139784946236557,No
136800,Auckland,1622,0.8995067817509248,1005,919.780790955,0.423963133640553,No
337900,Canterbury,1116,0.7517921146953405,940,1162.09216622,0.3464566929133858,No
210300,Hawke's Bay,1640,0.8036585365853659,1045,1250.99847952,0.38164251207729466,No
233800,MidCentral,547,0.623400365630713,981.5,54042.0145516,0.35668789808917195,No
233900,Capital and Coast,2049,0.6589147286821705,989,1264.4274116,0.34577114427860695,No
234000,MidCentral,752,0.7606382978723404,989,10934.0284588,0.3686868686868687,No
238900,Capital and Coast,328,0.8963414634146342,904,10191.5369251,0.3815789473684211,No
239400,Capital and Coast,823,0.8626974483596598,886,8886.70040115,0.373134328358209,No
137300,Waitemata,1554,0.8597168597168597,965,2228.19309172,0.36855670103092786,No
137500,Waitemata,1983,0.8421583459404942,924,9603.0169998,0.3795918367346939,No
183400,Waikato,1135,0.7233480176211454,1004,2026.03549419,0.4035714285714286,No
185300,Waikato,1260,0.6658730158730158,988,14540.0701747,0.37681159420289856,No
256100,Wairarapa,1764,0.7329931972789115,1051,1097.14656454,0.3744075829383886,No
256500,Wairarapa,1153,0.7528187337380746,976,31453.5538741,0.3509933774834437,No
256600,Wairarapa,987,0.7831813576494427,949,8929.53497102,0.30701754385964913,No
256800,Wairarapa,1629,0.7513812154696132,927.5,20667.9378003,0.3240506329113924,No
257000,Wairarapa,1057,0.7417218543046358,933,15483.8599278,0.35968379446640314,No
156800,Counties Manukau,2052,0.6564327485380117,1283,813.488752221,0.5714285714285714,No
157100,Counties Manukau,2749,0.8886867951982539,890.5,8559.36962334,0.37461300309597523,No
157500,Counties Manukau,2893,0.8399585205668856,1062,1458.63964275,0.45799457994579945,No
157600,Counties Manukau,763,0.6854521625163827,1182,1927.97022253,0.34099616858237547,No
257100,Wairarapa,2597,0.7589526376588371,992,15212.5114726,0.33653846153846156,No
257200,Wairarapa,738,0.7682926829268293,936,44323.0948859,0.3387096774193548,No
257300,Wairarapa,1273,0.8059701492537313,928.5,21714.0936364,0.3024054982817869,No
257400,Wairarapa,908,0.7345814977973568,973,34626.5074535,0.35294117647058826,No
206100,Tairawhiti,1893,0.6286318013734813,1131,1074.34538287,0.4364406779661017,No
207300,Tairawhiti,1579,0.7903736542115263,914,5137.7612584300005,0.34946236559139787,No
207400,Hawke's Bay,775,0.5922580645161291,1161,42349.2936084,0.45121951219512196,No
207600,Hawke's Bay,579,0.7322970639032815,1018,55606.9545014,0.39444444444444443,No
207900,Hawke's Bay,850,0.6894117647058824,1095,42750.2128165,0.31666666666666665,No
208000,Hawke's Bay,1484,0.6677897574123989,975,46499.6944585,0.3769230769230769,No
208100,Hawke's Bay,1117,0.7591763652641003,921,36795.1329615,0.3498233215547703,No
