Treatment,Wt.ini,Wt.gain
standard,21,5
standard,24,3
standard,21,8
standard,22,7
standard,23,6
standard,26,4
standard,22,8
standard,23,6
standard,24,7
standard,20,5
standard,27,5
standard,28,2
standard,28,4
standard,30,5
standard,18,10
standard,27,3
standard,19,8
standard,20,6
standard,19,6
standard,22,3
intensive,18,9
intensive,18,8
intensive,19,8
intensive,19,8
intensive,19,11
intensive,21,8
intensive,20,7
intensive,21,6
intensive,23,5
intensive,23,7
intensive,25,6
intensive,25,9
intensive,26,3
intensive,24,7
intensive,24,5
intensive,25,7
intensive,26,7
intensive,27,5
intensive,30,3
intensive,29,8
