Surgery,RectalTemp,Pulse,RespRate,TempExtr,PeriPulse,Mucous,Capillary,Pain,Peristalsos,AbdominalDist,PckCellVol,TotlProtein,SurgLesion,Died,Age
1,38.5,66,28,3,3,3,2,5,4,4,45,8.4,1,1,young
0,39.2,88,20,4,1,4,1,3,4,2,50,8.5,1,1,young
1,38.3,40,24,1,1,3,1,3,3,1,33,6.7,1,0,young
0,39.1,164,84,4,1,6,2,2,4,4,48,7.2,0,1,old
1,37.3,104,35,1,2,6,2,4,2,2,74,7.4,1,1,young
1,38.1,40,20,2,1,3,1,2,3,2,34,6.7,1,0,young
0,37.9,48,16,1,1,1,1,3,3,3,37,7,0,0,young
0,38.5,60,20,3,1,2,1,2,4,2,44,8.3,0,1,young
1,39.7,80,36,3,4,3,1,4,4,4,38,6.2,0,1,young
1,38.3,90,18,1,1,1,1,5,3,1,40,6.2,1,0,old
0,38.1,66,12,3,3,5,1,3,3,1,44,6,0,0,young
1,39.1,72,52,2,2,2,1,2,1,2,50,7.8,0,0,young
0,37.2,42,12,2,1,1,1,3,3,3,47,7,1,0,young
1,38,92,28,1,1,2,1,1,3,2,37,6.1,1,1,old
0,38.2,76,28,3,1,1,1,3,4,1,46,8.1,0,0,young
0,37.6,96,48,3,1,4,1,5,3,3,45,6.8,0,1,young
0,38,128,36,3,3,4,2,4,4,3,53,7.8,1,1,old
1,37.5,48,24,3,3,3,1,1,2,1,35,6.7,1,0,young
0,37.6,64,21,1,1,2,1,2,3,1,40,7,0,0,young
1,39.4,110,35,4,3,6,2,2,3,3,55,8.7,1,0,young
0,39.9,72,60,1,1,5,2,5,4,4,46,6.1,0,0,young
1,38.4,48,16,1,1,1,1,1,3,1,49,6.8,1,0,young
0,38.6,42,34,2,1,4,1,2,3,1,48,7.2,0,0,young
0,38.3,130,60,4,3,6,1,2,4,1,50,7,0,0,old
0,38.1,60,12,3,3,3,1,5,4,3,51,6.5,0,0,young
1,37.8,60,42,4,1,3,1,3,4,1,58,6.6,1,0,young
0,38.3,72,30,4,3,3,2,3,3,3,43,7,0,0,young
0,37.8,48,12,3,1,1,1,3,3,2,37,5.5,1,0,young
0,37.5,48,24,3,3,4,2,1,4,4,54,6.5,1,1,young
1,37.7,48,40,2,1,1,1,1,1,1,45,7.6,1,0,young
1,37.7,96,30,3,3,4,2,5,4,4,66,7.5,0,1,young
1,37.2,108,12,3,3,4,2,2,4,2,52,8.2,0,1,young
0,37.2,60,30,2,1,1,1,3,3,3,43,6.6,0,0,young
0,38.2,64,28,1,1,1,1,3,1,2,49,8.6,0,0,young
0,38.3,100,30,3,3,4,2,5,4,4,52,6.6,0,0,young
1,38,104,24,4,3,3,2,4,4,3,73,8.4,0,1,young
1,38.3,112,16,3,3,5,2,4,1,1,51,6,1,1,young
0,37.8,72,12,1,3,3,1,5,3,1,56,8,0,0,young
1,38.6,52,26,1,1,1,1,3,3,2,32,6.6,1,0,young
0,39.2,146,96,4,3,6,2,5,4,4,66,4.5,0,1,old
0,38.2,88,70,3,3,6,2,5,3,3,63,6.5,0,1,young
1,39,150,72,4,3,2,2,3,3,3,47,8.5,0,0,old
1,38,60,12,3,1,3,1,3,3,1,47,7,1,0,young
0,38.5,120,10,3,4,4,1,4,4,4,52,6.7,0,1,young
0,35.4,140,24,3,3,4,2,4,4,4,57,6.9,0,1,young
1,40.8,120,30,4,3,4,2,5,4,4,60,6.5,0,1,young
0,37.9,60,15,3,4,4,2,5,4,4,65,7.5,0,0,young
1,37.5,48,16,1,1,1,1,1,1,1,37,6.5,1,0,young
0,38.9,80,44,3,3,3,2,2,3,3,54,6.5,0,1,young
1,37.2,84,48,3,3,5,2,4,1,2,73,5.5,1,1,young
1,38.6,46,20,1,1,2,1,1,3,2,49,9.1,1,0,young
0,37.4,84,36,1,1,3,2,3,3,2,44,6.6,0,1,young
1,38.5,40,18,1,1,3,1,1,3,1,43,7.7,1,0,young
1,38.6,40,20,2,1,6,1,1,1,1,41,6.4,1,0,young
1,40.3,114,36,3,3,1,2,2,3,3,57,8.1,0,1,young
0,38.6,160,20,3,4,5,1,3,3,4,38,1.1,0,1,old
0,37.2,50,20,1,1,1,1,3,2,2,24,6.7,0,0,young
0,37.8,64,36,2,3,2,1,5,3,3,42,7.7,0,1,young
0,38.4,44,20,4,3,3,3,5,4,3,53,5.9,0,1,young
1,38,96,23,3,3,3,2,5,4,4,60,7.5,0,1,young
1,37.8,48,32,1,1,3,1,2,1,1,37,6.7,1,0,young
1,38.5,60,30,2,2,1,1,1,2,2,44,7.7,1,0,young
0,37.8,88,22,2,1,2,1,3,3,3,64,8,0,1,young
1,38.2,130,16,4,3,4,2,2,4,4,65,8.2,1,1,young
0,39,64,36,3,1,4,2,3,3,2,44,7.5,0,0,young
0,37.5,60,36,3,1,3,1,3,3,2,26,7.2,0,0,young
1,37.9,72,28,1,1,5,2,3,3,1,58,7.4,0,0,young
1,38.4,54,24,1,1,1,1,1,3,1,49,7.2,1,0,young
1,38.1,52,16,1,1,3,1,2,1,1,55,7.2,1,0,young
1,38,48,12,1,1,1,1,1,3,1,42,6.3,1,0,young
1,37,60,20,3,1,1,1,3,3,3,43,7.6,0,1,young
0,37.8,48,28,1,1,1,1,1,2,1,46,5.9,1,0,young
0,37.7,56,30,3,1,4,1,4,3,3,45,7.1,0,1,young
0,38.1,52,24,1,1,5,1,4,3,1,54,7.5,0,1,young
