group,x1,x2,x3
A,3.833,4.125,3.299
A,0.672,3.736,2.691
A,0.974,3.864,3.882
A,-1.612,6.095,2.851
A,0.784,5.799,3.086
A,1.157,4.679,3.622
A,4.097,7.659,6.616
A,0.116,4.44,1.963
A,0.301,4.977,3.699
A,-1.707,3.551,0.216
A,2.696,6.332,6.144
A,3.56,5.948,3.216
A,0.885,6.194,3.456
A,3.218,7.62,6.204
A,4.817,9.433,6.175
A,2.648,8.199,5.08
A,3.462,3.669,3.852
A,-0.306,4.27,2.478
A,-0.755,3.677,2.802
A,2.31,4.926,4.603
A,1.18,4.894,3.076
A,2.006,6.867,3.769
A,3.788,6.022,4.48
A,1.495,3.557,1.092
A,1.606,2.909,3.713
A,1.534,7.261,4.992
A,-1.327,3.776,3.209
A,1.652,5.064,3.567
A,-0.257,1.956,2.654
A,-0.657,4.386,3.572
A,2.275,6.332,3.441
A,2.792,6.926,6.341
A,0.874,4.981,2.091
A,5.051,5.359,6.054
A,-1.742,3.54,1.804
A,4.551,7.355,5.856
A,3.829,5.452,2.304
A,0.68,3.675,2.843
A,-2.149,2.515,2.149
A,1.794,4.782,4.016
A,-0.254,3.431,1.42
A,2.629,6.479,4.439
A,2.545,6.797,5.811
A,0.434,4.226,3.946
A,1.309,3.292,5.099
A,1.587,4.122,1.558
A,-1.515,4.439,0.826
A,1.561,3.794,4.305
A,2.576,6.376,4.688
A,6.876,8.301,5.732
A,-0.211,4.963,2.084
A,-2.207,1.397,1.36
A,-0.791,5.607,2.177
A,3.274,6.428,5.308
A,2.286,6.02,4.937
A,2.4,4.539,5.232
A,-0.148,4.835,2.64
A,3.401,6.481,4.493
A,5.238,6.741,6.839
A,-0.069,3.523,2.22
A,-1.211,2.243,0.157
A,2.152,2.879,4.773
A,1.844,6.31,6.58
A,0.448,4.185,2.081
A,3.275,6.157,5.566
A,4.361,6.487,5.78
A,3.843,5.008,5.154
A,2.718,5.065,4.905
A,3.491,5.481,4.791
A,1.316,7.052,5.687
A,-0.241,3.896,5.232
A,0.88,4.945,3.738
A,0.854,5.1,4.202
A,-1.335,3.847,3.471
A,3.729,4.902,5.342
A,0.588,4.661,4.714
A,3.528,7.546,6.391
A,-0.289,3.556,4.006
A,1.462,6.453,5.387
A,2.444,6.307,5.824
A,1.479,4.468,3.126
A,1.22,2.913,4.144
A,1.167,2.427,5.283
A,1.276,5.407,5.63
A,-0.122,1.878,3.127
A,2.646,4.674,5.31
A,0.613,5.29,4.529
A,2.297,3.875,3.515
A,1.631,9.802,5.216
A,-0.576,3.994,2.204
A,0.823,2.425,2.204
A,-0.457,3.058,2.254
A,0.104,4.261,4.408
A,2.395,4.892,2.762
A,-0.403,4.389,3.789
A,3.339,6.279,5.528
A,-0.436,3.348,4.297
A,1.447,4.971,2.689
A,1.931,4.158,2.557
A,2.516,5.062,4.425
A,1.377,3.422,4.644
A,0.441,5.381,4.3
A,1.918,7.92,8.993
A,2.825,4.195,1.617
A,2.222,4.239,3.859
A,1.295,4.283,2.266
A,-0.494,2.14,3.988
A,2.417,4.801,4.203
A,1.365,4.596,1.243
A,-0.63,4.512,1.402
A,0.493,5.89,4.899
A,0.648,4.542,4.583
A,0.239,4.609,3.191
A,2.676,5.186,5.452
A,0.993,2.606,4.041
A,2.744,8.085,3.97
A,0.211,4.013,3.035
A,0.923,4.069,5.122
A,2.128,6.312,3.021
A,-0.61,2.055,2.813
A,3.284,3.938,5.914
A,4.039,6.742,6.647
A,3.875,4.928,4.177
A,2.291,7.393,4.509
A,2.062,5.639,4.562
A,2.962,4.717,4.917
A,1.215,4.45,2.839
A,0.958,3.926,4.335
A,3.94,8.213,3.537
A,1.336,4.423,3.925
A,0.466,3.811,3.295
A,1.702,5.534,4.033
A,0.004,4.153,2.502
A,-0.121,3.476,4.131
A,0.193,3.474,4.131
A,2.373,6.638,2.75
A,0.116,2.766,3.912
A,0.153,2.991,2.535
A,1.859,5.022,4.22
A,0.484,3.828,3.479
A,2.484,4.306,4.938
A,1.704,5.63,3.662
A,1.818,8.291,5.799
A,1.386,5.595,4.933
A,0.863,3.777,3.957
A,4.234,6.558,3.107
A,2.651,5.328,3.309
A,1.231,4.759,4.181
A,0.15,5.684,3.393
A,2.129,6.517,5.033
A,1.772,5.155,4.696
A,2.576,7.06,6.19
A,1.243,6.673,5.187
A,0.635,6.823,4.313
A,1.409,4.292,5.309
A,-0.885,0.004,-1.445
A,1.501,4.675,1.79
A,2.508,6.065,3.962
A,1.919,5.626,3.851
A,2.269,5.668,3.566
A,2.155,7.559,5.3
A,0.029,2.479,2.993
A,-0.38,4.138,3.344
A,0.231,4.255,2.719
A,2.9,5.262,4.522
A,0.588,4.681,4.565
A,1.722,4.81,3.656
A,4.177,6.06,5.025
A,1.947,7.518,4.321
A,0.226,4.185,2.433
A,1.975,4.95,4.09
A,2.567,7.602,4.6
A,0.601,4.57,4.571
A,1.714,4.944,3.732
A,0.15,4.273,2.873
A,3.775,8.274,6.018
A,-0.189,4.429,4.643
A,-0.543,5.356,2.788
A,2.341,5.684,5.229
A,-0.991,2.531,0.491
A,-0.23,2.504,1.077
A,-0.273,5.038,1.94
A,1.433,4.527,3.689
A,1.235,5.121,5.033
A,1.646,7.594,4.667
A,2.413,6.987,4.044
A,1.356,5.921,4.655
A,3.74,3.949,3.143
A,2.117,5.234,3.841
A,0.322,1.809,3.031
A,2.884,5.006,3.52
A,1.8,4.484,2.515
A,2.287,5.27,3.602
A,0.474,2.692,2.594
A,0.764,2.614,4.363
A,1.059,6.238,3.467
A,2.483,7.254,5.34
A,1.442,3.766,2.369
A,2.177,5.012,1.696
A,2.264,7.23,2.979
B,3.152,3.119,2.929
B,4.178,2.907,2.032
B,3.06,2.357,1.614
B,2.565,4.209,5.772
B,1.406,2.066,4.642
B,2.939,2.843,0.847
B,3.438,2.149,4.065
B,5.676,3.71,4.233
B,2.61,4.154,3.948
B,3.576,3.336,1.893
B,2.817,1.182,1.146
B,2.889,0.968,0.872
B,3.067,3.121,3.421
B,5.48,4.659,3.849
B,2.975,4.368,3.511
B,3.445,4.544,2.962
B,2.137,3.645,2.12
B,2.242,1.945,0.638
B,1.204,2.906,3.757
B,5.71,3.657,2.274
B,4.918,4.132,3.639
B,4.855,5.693,6.935
B,4.833,5.219,5.878
B,2.938,1.203,2.692
B,2.208,3.408,4.175
B,2.926,2.138,3.718
B,3.835,3.834,2.479
B,3.411,3.979,3.515
B,3.278,2.182,2.684
B,1.919,1.362,0.744
B,0.887,0.125,1.565
B,4.345,3.229,4.76
B,3.72,2.459,3.553
B,2.915,1,0.618
B,5.356,6.538,6.564
B,5.997,5.91,3.068
B,1.42,0.505,-0.623
B,5.116,2.525,6.494
B,3.733,5.135,3.835
B,2.776,0.696,3.319
B,2.529,3.198,4.248
B,2.92,1.494,4.736
B,2.928,1.778,3.589
B,2.811,3.554,3.111
B,2.262,1.824,4.318
B,3.719,4.968,4.62
B,3.949,4.625,5.514
B,1.889,1.389,2.138
B,4.266,3.491,4.031
B,4.024,4.053,3.656
B,3.978,3.357,3.652
B,-0.226,-1.921,0.466
B,3.461,2.699,3.016
B,2.541,3.351,2.423
B,4.949,5.93,4.87
B,2.943,2.333,2.969
B,1.123,0.777,3.442
B,2.72,5.911,6.3
B,5.282,3.257,3.229
B,4.25,4.715,4.243
B,2.607,3.563,2.219
B,3.224,2.325,3.326
B,3.127,4.811,1.953
B,2.236,1.864,1.984
B,3.274,3.306,1.556
B,5.588,5.534,4.372
B,4.239,4.506,6.113
B,3.315,2.609,4.056
B,6.153,4.974,3.986
B,5.384,4.938,2.883
B,1.006,1.956,3.462
B,4.189,4.554,4.027
B,3.069,3.946,2.199
B,5.622,3.486,3.421
B,5.23,1.981,1.393
B,5.685,2.949,3.382
B,6.127,6.56,6.161
B,4.331,4.761,3.582
B,4.152,3.66,2.659
B,3.927,4.194,3.572
B,4.168,5.134,3.494
B,3.404,4.094,3.301
B,5.514,4.195,3.65
B,3.34,3.892,3.961
B,-0.054,0.706,-1.185
B,1.888,2.564,4.231
B,3.335,2.992,2.319
B,3.048,4.364,2.224
B,5.4,3.412,3.42
B,2.84,1.099,0.51
B,4.609,2.729,1.275
B,2.625,4.495,4.665
B,-0.651,0.714,0.24
B,3.38,4.216,4.491
B,3.353,3.463,3.272
B,5.875,4.21,5.672
B,1.348,1.036,0.895
B,2.168,2.873,1.584
B,3.046,2.49,2.191
B,4.05,3.191,3.676
B,1.552,3.369,1.264
B,3.482,2.754,2.809
B,3.392,2.818,0.894
B,2.671,1.645,3.588
B,2.534,3.205,2.355
B,3.294,4.426,5.174
B,5.118,3.945,3.57
B,1.868,1.453,3.269
B,4.606,3.339,3.159
B,3.568,3.639,3.391
B,4.09,1.152,0.866
B,4.361,4.731,3.298
B,4.283,2.724,4.146
B,5.461,4.578,3.644
B,4.266,4.911,5.334
B,1.511,0.694,1.633
B,2.382,1.675,1.496
B,4.344,2.498,3.998
B,0.659,-0.583,0.258
B,6.274,5.02,6.345
B,4.994,5.363,4.258
B,4.416,5.988,3.892
B,4.163,3.673,3.986
B,4.621,6.35,5.211
B,1.482,2.991,2.781
B,3.561,3.495,3.128
B,0.911,2.837,2.885
B,7.632,5.866,5.419
B,3.642,1.657,2.042
B,4.782,2.575,3.211
B,6.659,5.775,6.295
B,1.819,2.465,2.7
B,4.659,1.686,2.197
B,2.302,2.657,3.114
B,5.249,4.599,5.22
B,2.504,1.876,2.051
B,3.593,3.459,1.784
B,4.132,3.927,4.934
B,1.997,0.26,-0.663
B,3.604,2.727,2.125
B,1.806,2.039,1.344
B,3.094,3.937,3.078
B,-0.766,-0.364,-0.201
B,1.17,1.95,2.145
B,3.569,4.027,3.341
B,2.77,2.337,1.044
B,1.082,0.693,1.325
B,5.312,2.875,2.625
