Percentage of Electorate Candidate Votes of Successful Registered Parties
,ACT New Zealand,,Green Party,,Labour Party,,Māori Party,,National Party,,Other,,
Electorate,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Total Valid Votes
Auckland Central,588,1.65,12631,35.48,11563,32.48,0,0.00,9775,27.46,1046,2.94,35603
Banks Peninsula,1715,3.51,6222,12.72,25393,51.92,0,0.00,12237,25.02,3342,6.83,48909
Bay of Plenty,2068,4.64,1678,3.76,16631,37.29,0,0.00,20046,44.94,4180,9.37,44603
Botany,1236,3.41,0,0.00,15018,41.43,0,0.00,19017,52.46,982,2.71,36253
Christchurch Central,1071,2.70,2566,6.47,23931,60.33,0,0.00,9833,24.79,2269,5.72,39670
Christchurch East,1340,3.36,2720,6.82,25234,63.28,0,0.00,7898,19.81,2686,6.74,39878
Coromandel,1560,3.35,3357,7.21,17713,38.07,0,0.00,21218,45.60,2684,5.77,46532
Dunedin,1308,2.91,6916,15.38,24140,53.67,0,0.00,8619,19.16,3998,8.89,44981
East Coast,1345,3.25,2091,5.05,21420,51.70,0,0.00,15089,36.42,1486,3.59,41431
East Coast Bays,1397,3.74,2370,6.35,11702,31.37,0,0.00,20466,54.86,1374,3.68,37309
Epsom,19500,47.53,3101,7.56,10276,25.05,0,0.00,6397,15.59,1750,4.27,41024
Hamilton East,721,1.85,1676,4.31,18542,47.69,0,0.00,15569,40.04,2375,6.11,38883
Hamilton West,1186,3.04,0,0.00,20703,53.04,0,0.00,14436,36.98,2709,6.94,39034
Hutt South,330,0.73,1171,2.61,22453,50.00,0,0.00,18676,41.59,2278,5.07,44908
Ilam,1956,4.60,3230,7.59,19825,46.57,0,0.00,16362,38.44,1194,2.80,42567
Invercargill,0,0.00,1137,2.88,17705,44.92,0,0.00,17929,45.49,2641,6.70,39412
Kaikōura,1833,4.33,2377,5.62,15774,37.26,0,0.00,18069,42.68,4279,10.11,42332
Kaipara ki Mahurangi,2989,6.67,2904,6.48,15967,35.62,0,0.00,20402,45.52,2560,5.71,44822
Kelston,1195,3.47,2365,6.87,22177,64.46,0,0.00,6517,18.94,2150,6.25,34404
Mana,0,0.00,4135,9.81,26122,61.99,0,0.00,9878,23.44,2001,4.75,42136
Māngere,0,0.00,1930,6.44,23104,77.06,0,0.00,3708,12.37,1240,4.14,29982
Manurewa,0,0.00,963,3.38,20815,73.04,0,0.00,3636,12.76,3085,10.82,28499
Maungakiekie,1225,3.38,2666,7.36,16232,44.80,0,0.00,15597,43.05,513,1.42,36233
Mt Albert,0,0.00,2299,5.63,29238,71.60,0,0.00,7992,19.57,1306,3.20,40835
Mt Roskill,1371,3.68,2261,6.07,23050,61.84,0,0.00,9197,24.67,1396,3.75,37275
Napier,962,2.34,1958,4.77,21325,51.97,0,0.00,15469,37.70,1321,3.22,41035
Nelson,1320,3.01,2046,4.66,21376,48.70,0,0.00,16851,38.39,2301,5.24,43894
New Lynn,1447,3.54,3701,9.04,23352,57.06,0,0.00,10218,24.97,2209,5.40,40927
New Plymouth,864,1.99,0,0.00,21030,48.34,0,0.00,18475,42.47,3133,7.20,43502
North Shore,1596,3.84,2595,6.24,15468,37.21,0,0.00,19202,46.19,2710,6.52,41571
Northcote,806,2.06,1905,4.86,19086,48.66,0,0.00,16552,42.20,871,2.22,39220
