Percentage of Votes for Registered Parties
,ACT New Zealand,,Green Party,,Labour Party,,Māori Party,,National Party,,Other,,
Electorate,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Total Valid Votes
Auckland Central,2724,7.52,6937,19.14,16751,46.22,111,0.31,7680,21.19,2040,5.63,36243
Banks Peninsula,3478,7.00,7089,14.26,25091,50.47,144,0.29,10453,21.03,3455,6.95,49710
Bay of Plenty,4571,10.09,2159,4.76,19398,42.80,195,0.43,14758,32.57,4237,9.35,45318
Botany,2563,6.81,1236,3.29,17900,47.59,70,0.19,13970,37.14,1876,4.99,37615
Christchurch Central,2507,6.20,5168,12.78,21681,53.64,142,0.35,7921,19.60,3004,7.43,40423
Christchurch East,2511,6.16,3447,8.46,24563,60.26,141,0.35,6760,16.58,3338,8.19,40760
Coromandel,4602,9.74,2658,5.63,20568,43.55,116,0.25,15471,32.76,3812,8.07,47227
Dunedin,2423,5.29,8165,17.82,25377,55.39,151,0.33,6477,14.14,3221,7.03,45814
East Coast,3305,7.78,2351,5.53,21412,50.40,320,0.75,11452,26.96,3643,8.58,42483
East Coast Bays,3365,8.81,2353,6.16,15372,40.25,65,0.17,14658,38.38,2382,6.24,38195
Epsom,4355,10.41,4596,10.99,15078,36.05,108,0.26,15668,37.46,2023,4.84,41828
Hamilton East,2744,6.92,3171,8.00,19471,49.14,193,0.49,10875,27.44,3172,8.00,39626
Hamilton West,2779,6.92,2279,5.68,21136,52.65,212,0.53,10161,25.31,3580,8.92,40147
Hutt South,2568,5.63,4301,9.43,25159,55.14,201,0.44,10033,21.99,3363,7.37,45625
Ilam,3807,8.77,4489,10.34,19497,44.93,108,0.25,12861,29.64,2635,6.07,43397
Invercargill,3846,9.61,1386,3.46,19252,48.09,76,0.19,11996,29.97,3474,8.68,40030
Kaikōura,4917,11.45,2282,5.31,19159,44.60,70,0.16,13007,30.28,3520,8.19,42955
Kaipara ki Mahurangi,5158,11.27,2887,6.31,18451,40.31,126,0.28,15547,33.97,3600,7.87,45769
Kelston,1543,4.37,2929,8.29,22081,62.50,185,0.52,6121,17.33,2471,6.99,35330
Mana,2403,5.57,4187,9.70,25271,58.55,242,0.56,7976,18.48,3085,7.15,43164
Māngere,483,1.55,1246,3.99,24167,77.37,280,0.90,2846,9.11,2215,7.09,31237
Manurewa,519,1.73,907,3.03,22137,73.91,245,0.82,3904,13.03,2241,7.48,29953
Maungakiekie,2660,7.14,3403,9.14,18895,50.75,159,0.43,9668,25.97,2444,6.56,37229
Mt Albert,2485,6.00,8311,20.06,20265,48.90,205,0.49,7769,18.75,2404,5.80,41439
Mt Roskill,1904,4.99,3060,8.02,21436,56.17,142,0.37,9328,24.44,2292,6.01,38162
Napier,3410,8.18,2444,5.86,21245,50.94,118,0.28,11718,28.10,2769,6.64,41704
Nelson,3639,8.20,4028,9.08,23943,53.98,90,0.20,9185,20.71,3474,7.83,44359
New Lynn,2643,6.31,4794,11.45,22339,53.33,191,0.46,9166,21.88,2754,6.57,41887
New Plymouth,3534,8.00,2044,4.63,21394,48.46,212,0.48,13336,30.21,3629,8.22,44149
North Shore,4172,9.86,3530,8.34,17498,41.35,104,0.25,14411,34.05,2604,6.15,42319
Northcote,2935,7.32,3482,8.69,19860,49.56,93,0.23,11086,27.67,2614,6.52,40070
Northland,4326,9.51,2772,6.10,19997,43.98,181,0.40,12496,27.48,5695,12.53,45467
