Spaces,Commas
147,9
175,12
165,12
239,13
185,15
283,15
175,8
247,12
263,15
218,12
257,13
141,8
152,9
268,13
208,11
203,15
192,12
176,12
155,10
279,26
301,20
263,15
212,11
231,15
241,13
179,12
197,14
303,17
250,11
165,9
194,9
221,9
120,4
217,8
217,8
218,9
192,8
268,9
132,6
291,15
192,7
115,5
122,6
253,11
136,5
148,7
191,7
343,15
320,13
139,5
321,13
245,10
250,12
243,10
262,11
134,7
356,13
164,6
291,14
251,11
175,9
333,19
332,24
271,11
271,11
187,9
175,12
171,12
52,5
151,6
268,12
258,11
144,8
266,13
255,10
313,16
267,17
251,12
267,17
289,16
294,14
198,7
298,18
189,13
93,5
145,9
247,14
228,13
265,14
155,11
320,13
370,18
315,13
259,14
313,12
256,11
300,12
203,6
270,11
208,9
297,16
277,16
357,17
325,17
301,14
275,13
228,12
329,15
395,19
351,17
302,16
311,13
252,10
382,21
350,15
338,19
293,12
223,12
346,15
273,16
252,16
202,11
221,15
198,13
123,11
88,7
224,14
228,14
143,12
332,19
137,9
88,6
246,17
297,18
353,24
373,27
186,9
147,10
90,6
59,3
160,6
347,23
231,14
218,12
73,6
128,9
179,12
178,12
106,6
178,14
166,9
154,9
184,12
159,10
136,9
212,11
139,14
206,11
206,10
249,12
116,6
227,12
228,12
145,9
145,8
309,17
49,4
84,5
286,15
241,17
190,8
155,8
332,17
164,8
203,9
198,13
120,6
219,9
124,9
209,8
287,17
221,14
252,10
296,10
284,6
332,18
279,14
290,14
279,7
290,14
296,12
294,11
305,9
276,9
310,11
253,15
297,13
258,7
311,15
229,12
263,10
281,12
195,11
359,20
304,9
326,17
290,12
304,12
344,17
311,15
301,14
261,11
220,13
274,7
242,13
154,8
255,12
351,15
188,10
227,7
296,13
327,15
274,12
300,18
154,7
266,14
207,10
240,11
314,12
223,11
84,5
361,14
170,10
270,12
274,7
169,9
348,16
400,17
318,18
189,12
261,12
301,6
251,10
251,10
251,10
263,4
269,3
200,10
201,9
298,4
362,9
283,12
222,5
274,10
238,11
202,3
246,9
250,5
269,9
229,9
271,9
323,12
194,7
335,10
292,4
246,9
335,10
204,5
219,7
305,11
208,12
166,9
57,4
132,7
70,5
287,12
182,10
184,12
318,13
207,10
109,7
328,14
154,9
221,8
28,2
186,7
75,5
159,9
196,26
108,6
207,8
51,3
66,5
139,6
144,10
74,6
159,9
77,3
157,6
193,6
410,14
384,17
241,10
351,18
337,16
232,10
351,27
303,11
384,19
408,18
315,14
273,8
296,11
269,10
323,15
234,10
232,7
357,25
379,7
255,13
369,13
373,22
324,15
376,18
296,13
272,14
411,22
331,26
345,11
296,10
315,12
220,10
232,9
271,10
195,7
81,4
231,8
285,11
284,13
299,9
312,15
242,8
303,12
181,7
180,6
310,7
191,8
95,3
54,3
340,12
214,4
259,16
281,9
254,9
338,12
234,10
217,9
159,6
283,11
311,18
232,8
242,11
222,10
185,7
324,11
232,8
319,12
227,9
265,10
309,9
270,9
244,10
199,9
180,13
389,14
367,21
286,10
219,8
232,8
283,10
271,14
335,10
233,10
245,9
276,9
277,10
320,13
332,14
277,11
312,10
312,16
255,14
208,12
312,15
302,15
292,16
207,17
214,9
226,10
219,12
339,14
243,13
225,12
274,8
277,16
302,15
304,18
322,14
293,17
302,16
321,18
235,14
251,15
296,14
347,19
306,18
266,13
346,19
248,16
289,17
95,3
179,9
250,11
215,12
191,10
289,13
160,7
285,15
305,12
223,7
169,9
252,9
230,10
200,10
91,5
158,7
208,10
240,8
303,15
210,12
127,8
281,10
135,6
313,16
262,12
348,15
300,15
291,14
233,16
200,12
196,15
235,16
203,8
232,12
273,11
144,8
183,11
154,7
218,10
143,7
182,12
111,6
179,9
213,10
148,8
146,9
196,13
134,8
209,10
189,11
221,12
184,10
265,11
206,9
137,7
378,21
261,13
225,9
184,11
144,8
273,13
337,13
242,12
304,16
339,18
278,10
238,11
348,14
301,12
346,17
309,17
298,12
243,12
317,14
266,11
246,11
242,10
205,7
295,8
336,14
304,14
247,17
314,12
237,12
338,15
252,11
266,15
206,11
247,17
277,13
267,13
310,13
306,16
278,14
214,11
155,7
155,9
175,15
365,18
340,14
243,18
248,20
234,8
266,12
317,16
216,11
337,12
232,11
214,7
229,12
197,8
191,10
246,17
246,17
302,13
211,12
211,12
252,14
252,14
246,13
229,16
257,13
242,11
159,8
183,7
221,9
135,8
224,17
213,12
307,14
306,14
265,15
328,15
301,14
299,14
232,14
271,12
280,12
366,19
246,10
299,13
158,10
151,9
250,12
191,10
221,16
188,10
307,15
256,13
266,14
308,13
318,22
290,16
217,14
323,16
261,12
273,15
320,16
263,15
259,14
212,9
202,10
236,13
251,12
246,11
271,13
291,17
236,13
212,16
192,12
248,19
211,9
216,11
239,12
223,9
281,16
322,18
303,15
260,12
305,17
78,4
76,4
119,7
274,12
285,13
211,10
216,6
269,11
264,11
167,3
141,4
274,14
273,8
215,10
129,7
325,18
264,6
313,11
282,10
245,9
162,9
74,4
98,3
305,12
281,13
239,8
116,4
293,10
263,9
276,13
58,3
297,8
314,9
304,6
358,10
314,9
289,8
326,14
376,14
249,11
295,6
332,10
291,10
236,5
350,13
274,7
307,11
206,7
296,12
339,12
369,11
166,8
294,12
276,10
281,12
166,6
172,9
273,10
209,7
246,5
151,6
285,11
288,10
147,6
237,8
210,8
196,7
221,8
335,12
222,10
181,4
285,7
137,7
259,9
208,7
214,7
294,10
288,9
204,10
267,13
206,9
254,8
188,6
121,3
384,12
161,4
175,5
239,8
161,9
217,10
246,10
224,8
235,13
204,10
283,11
237,10
254,10
279,14
176,10
173,8
343,17
350,18
156,7
247,14
211,11
119,5
253,12
253,14
129,4
221,11
155,7
211,10
248,11
211,9
157,7
210,8
315,15
171,8
276,11
215,12
139,10
252,15
291,15
147,7
208,13
181,7
292,17
354,14
87,4
313,18
330,18
315,16
293,16
197,10
162,9
321,22
164,10
231,13
301,17
188,9
100,7
244,10
411,19
380,18
259,13
246,12
310,14
280,12
247,16
334,16
270,17
217,17
224,17
319,27
294,12
244,13
312,15
252,16
238,15
215,10
318,17
329,13
241,11
205,11
237,14
237,14
221,12
192,11
216,11
210,14
317,14
335,22
277,18
266,21
232,17
195,13
277,15
246,11
219,13
218,9
233,8
248,11
263,10
267,12
328,13
261,11
303,11
245,10
234,9
242,7
276,10
306,15
215,9
261,11
188,6
312,11
205,8
305,13
