margin,diagonal,type
9.7,140.6,forged
9.5,141.1,genuine
10,139.4,forged
11.2,139.9,forged
10.7,139.5,forged
7.4,141.8,genuine
11.6,140.2,forged
7.7,141.8,genuine
9.3,138.3,forged
8,141.4,genuine
8.2,141,genuine
11.2,139.4,forged
8.2,139.2,forged
7.4,141.5,genuine
8.8,141.2,genuine
12.3,139.2,forged
9.6,138.5,forged
10.7,139.8,forged
10.1,139.6,forged
11.3,139.2,forged
12.1,139.4,forged
9.3,141.6,genuine
7.4,141.5,genuine
11.4,139.8,forged
7.2,141.3,genuine
10.4,139.3,forged
11.4,139.2,forged
8.5,141.4,genuine
11,139.5,forged
10.7,139.4,forged
8.7,142.2,genuine
11.6,139.1,forged
8.6,141.5,genuine
8.9,142.4,genuine
7.9,141.6,genuine
11.4,139.9,forged
11,140,forged
8.3,142,genuine
11.9,139,forged
9,141.7,genuine
10.6,139.9,forged
12.1,139.9,forged
10.5,139.7,forged
8,142,genuine
7.6,141.6,genuine
8.7,140.2,forged
9.8,139.9,forged
9.2,142,genuine
9,141.9,genuine
9.6,139.4,forged
7.2,142.1,genuine
11.8,139.7,forged
11.3,139.8,forged
12.5,139.3,forged
8,141.5,genuine
11.9,139.8,forged
8.8,141.1,genuine
9,141.4,genuine
9.3,138.1,forged
9.6,138.6,forged
7.5,141.8,genuine
8.1,141.3,genuine
11.4,139.1,forged
9.3,141.7,genuine
8,138.7,forged
8.9,141.4,genuine
8.4,141.4,genuine
8,142.3,genuine
10.2,139.6,forged
8.9,141.5,genuine
11.8,139.6,forged
10.8,139.2,forged
11.9,139.5,forged
8.4,141,genuine
11.6,139.7,forged
8.2,141.9,genuine
11.8,139.4,forged
10,138.8,forged
7.9,141.3,genuine
8.1,137.9,forged
9.9,139.6,forged
10.2,139.1,forged
11.8,139.8,forged
7.9,141.1,genuine
7.9,141.4,genuine
11.6,139.7,forged
10.1,139.3,forged
7.8,140.9,genuine
9.9,140.1,forged
9.2,140.7,genuine
8.3,141.6,genuine
8.6,140.4,genuine
8.3,142,genuine
7.9,141.8,genuine
11.4,139.9,forged
10.2,139.4,forged
9.1,141.5,genuine
8.3,141.5,genuine
8.2,141.5,genuine
7.4,141.5,genuine
8.2,137.8,forged
8.3,141.8,genuine
9.3,141,forged
9.4,140.2,forged
8,141.2,genuine
11,139.3,forged
11.4,139.6,forged
10.6,140.1,forged
8,139.2,forged
9,141.2,genuine
8.6,141.8,genuine
11,139.5,forged
8.5,142.1,genuine
11.6,139.8,forged
10.2,140,forged
10.4,141.8,genuine
9.8,141.9,genuine
8.6,141.9,genuine
8.2,141.4,genuine
9.6,139.6,forged
